Cancer Site,Gender,Stage,Age At Diagnosis,Years Since Diagnosis,Survival (%)
Liver,Female,1,55 to 64,1,89.3
Liver,Female,1,65 to 74,1,78.4
Liver,Female,1,55 to 64,2,71.1
Liver,Female,1,65 to 74,2,61.5
Liver,Female,1,55 to 64,3,66.3
Liver,Female,1,65 to 74,3,48.2
Liver,Female,1,55 to 64,4,63.3
Liver,Female,1,65 to 74,4,41.7
Liver,Female,1,65 to 74,5,39
Liver,Female,2,15 to 44,1,100
Liver,Female,2,45 to 54,1,79.7
Liver,Female,2,55 to 64,1,70.9
Liver,Female,2,65 to 74,1,72.5
Liver,Female,2,15 to 44,2,78.8
Liver,Female,2,45 to 54,2,67.2
Liver,Female,2,55 to 64,2,62.2
Liver,Female,2,65 to 74,2,51.9
Liver,Female,2,55 to 64,3,57.2
Liver,Female,2,65 to 74,3,41.4
Liver,Female,2,55 to 64,4,52.3
Liver,Female,2,65 to 74,4,30.4
Liver,Female,3,15 to 44,1,66.7
Liver,Female,3,45 to 54,1,59.1
Liver,Female,3,55 to 64,1,41.2
Liver,Female,3,65 to 74,1,41.7
Liver,Female,3,55 to 64,2,24.2
Liver,Female,3,65 to 74,2,27.7
Liver,Female,4,15 to 44,1,41.5
Liver,Female,4,45 to 54,1,36.6
Liver,Female,4,55 to 64,1,26.2
Liver,Female,4,65 to 74,1,20.1
Liver,Female,4,55 to 64,2,10.9
Liver,Female,4,65 to 74,2,8.8
Liver,Female,4,55 to 64,3,7.7
Liver,Female,4,65 to 74,3,4.4
Liver,Male,1,55 to 64,1,81.5
Liver,Male,1,65 to 74,1,83.6
Liver,Male,1,55 to 64,2,70.3
Liver,Male,1,65 to 74,2,67.5
Liver,Male,1,55 to 64,3,58.9
Liver,Male,1,65 to 74,3,58.4
Liver,Male,1,55 to 64,4,53.4
Liver,Male,1,65 to 74,4,51.5
Liver,Male,1,55 to 64,5,48.8
Liver,Male,1,65 to 74,5,45.4
Liver,Male,2,15 to 44,1,83.4
Liver,Male,2,45 to 54,1,74.2
Liver,Male,2,55 to 64,1,76.1
Liver,Male,2,65 to 74,1,75.7
Liver,Male,2,15 to 44,2,78.7
Liver,Male,2,45 to 54,2,62
Liver,Male,2,55 to 64,2,59.1
Liver,Male,2,65 to 74,2,57.2
Liver,Male,2,15 to 44,3,73.6
Liver,Male,2,45 to 54,3,53.8
Liver,Male,2,55 to 64,3,46.8
Liver,Male,2,65 to 74,3,48
Liver,Male,2,15 to 44,4,65.9
Liver,Male,2,45 to 54,4,46.5
Liver,Male,2,55 to 64,4,40.2
Liver,Male,2,65 to 74,4,38.3
Liver,Male,2,55 to 64,5,38.6
Liver,Male,2,65 to 74,5,34
Liver,Male,3,15 to 44,1,47.4
Liver,Male,3,45 to 54,1,37.5
Liver,Male,3,55 to 64,1,48.8
Liver,Male,3,65 to 74,1,42.1
Liver,Male,3,55 to 64,2,30.7
Liver,Male,3,65 to 74,2,23.3
Liver,Male,3,55 to 64,3,21.6
Liver,Male,3,65 to 74,3,14.1
Liver,Male,3,55 to 64,4,18.3
Liver,Male,3,65 to 74,4,10
Liver,Male,3,55 to 64,5,14.1
Liver,Male,4,15 to 44,1,28
Liver,Male,4,45 to 54,1,26.1
Liver,Male,4,55 to 64,1,21.8
Liver,Male,4,65 to 74,1,18.4
Liver,Male,4,15 to 44,2,22
Liver,Male,4,45 to 54,2,11.9
Liver,Male,4,55 to 64,2,9.4
Liver,Male,4,65 to 74,2,7.2
Liver,Male,4,55 to 64,3,5.2
Liver,Male,4,65 to 74,3,4.2
Liver,Male,4,65 to 74,4,3.3
